,date,text
62,2022-11-01,"Nykaa reports Q2 earnings.

⭕️Net profit down 8.9% at Rs 4.1 cr Vs Rs 4.5 cr (QoQ)    

⭕️Revenue up 7.2% at Rs 1,231 cr Vs Rs 1,148.4 cr (QoQ)    

⭕️EBITDA up 33% at Rs 61.2 cr Vs Rs 46 cr (QoQ)

⭕️Margin at 5% Vs 4% (QoQ)"
63,2022-11-01,"Adani Ports reports Q2 earnings.

⭕️Net profit up 65.5% at Rs 1,737.8 cr Vs Rs 1,050 cr (YoY)

⭕️Revenue up 32.8% at Rs 5,210.8 cr Vs Rs 3,922.9 cr (YoY)

⭕️ EBITDA up 14% at Rs 2,890.7 cr Vs Rs 2,536 cr (YoY)

⭕️EBITDA margin at 55.5% Vs 64.7% (YoY)"
64,2022-11-01,"Grasim Ind board approves raising up to Rs 1,000 cr through #NCDs"
65,2022-11-01,"JK Tyre reports Q2 earnings.

▶️Net profit down 22.9% at Rs 51.3 cr Vs Rs 66.6 cr (YoY)

▶️Revenue up 25.8% at Rs 3,756.5 cr Vs Rs 2,986.7 cr (YoY)

▶️EBITDA up 1.7% at Rs 297.4 cr Vs Rs 292.4 cr (YoY)

▶️Margin at 7.9% Vs 9.8% (YoY)"
66,2022-11-01,Day 1 of #CBDC launch: 9 banks did 48 trades in #GSecs for Rs 275 cr:
67,2022-11-01,"ICICI Bank says @ICICIBank today executed first secondary market transaction in G-Sec using CBDC 
#centralbankdigitalcurrency"
68,2022-11-01,The United States and United Arab Emirates signs a strategic partnership that will see $100 billion mobilized to develop 100 gigawatts of #cleanenergy by 2035
69,2022-11-01,"SML Isuzu 

⭕️Total sales down 22% at 576 units Vs 743 units  (YoY)

⭕️Total cargo vehicles sales down 51% at 315 units Vs 637 units (YoY)

⭕️Total PV sales at 261 units Vs 106 units (YoY)"
70,2022-11-01,"Chambal Fert reports Q2 earnings.

▶️Net profit down 45.8% at Rs 274.3 cr Vs Rs 505.9 cr (YoY)

▶️Revenue up 91.7% at Rs 8,586.8 cr Vs Rs 4,478.6 cr (YoY)

▶️EBITDA down 39.7% at Rs 444.5 cr Vs Rs 736.9 cr (YoY)

▶️Margin at 5.2% Vs 16.5% (YoY)"
71,2022-11-01,#Uber says it may limit #Auto services in #Bengaluru post 10% commission cap
72,2022-11-01,"VSSL reports Q2 earnings.

⭕️Net profit up 15.3% at Rs 28 cr Vs Rs 24.3 cr (YoY)

⭕️Revenue up 32% at Rs 443.2 cr Vs Rs 335.7 cr (YoY)"
73,2022-11-01,J&J says it will buy Abiomed in an all-cash deal valued at $16.6 bn
74,2022-11-01,"Royal Enfield's total sales up 86% at 82,235 units Vs 44,133 units (YoY)"
75,2022-11-01,"Tamilnadu Petroproducts reports Q2 earnings.

⭕️Net profit down 3.4% at Rs 26.6 cr Vs Rs 27.6 cr (QoQ)

⭕️Revenue up 8.8% at Rs 602.1 cr Vs Rs 553.4 cr (QoQ)

⭕️EBITDA up 11.5% at Rs 40.6 cr Vs Rs 36.4 cr (QoQ)

⭕️Margin at 6.7% Vs 6.6% (QoQ)"
76,2022-11-01,"The Dow Jones Industrial Average jumps 212 points, or 0.65%. The S&P 500 and Nasdaq Composite add 0.8% and 1.2%, respectively.

Wall Street looks ahead to a key Federal Reserve decision on rates"
77,2022-11-01,TechM Q2 profit slides 4% on higher expenses; declares special dividend of ₹18
78,2022-11-01,"Tata to add up to 45,000 workers at iPhone parts plant in Tamil Nadu ,most of them are women"
79,2022-11-01,FirstMeridian Business Services' IPO gets SEBI nod
80,2022-11-01,"Karnataka Bank Q2 | #2QWithCNBCTV18 

▶️Net profit at Rs 411.6 cr vs Rs 125.6 cr (YoY)

▶️NII up 26% at Rs 802.7 cr Vs Rs 637 cr (YoY)"
81,2022-11-01,"STEP1: PAY 100RS ENTRY FEE
Payment number- 9711780818
Gpay upi id - Himanshuahuja0007@oksbi

2: Send SCREENSHOT here after payment 👇

https://chat.whatsapp.com/Lqz2jGSu6AV4VHhhKgBDwu

3: WE WILL ADD YOU TO PREMIUM GROUP"
82,2022-11-01,"WindfallTax revised with effect from November 2, 2022.

🛢️Export duty on #crude petroleum cut from Rs 1,000 per tonne to Rs 9,500/ tonne

🛢️Export duty on #ATF hiked from  Rs 3.50 per litre to Rs 5/ litre

🛢️Export Duty on #diesel hiked from Rs 12/litre to Rs 13 per litre"
83,2022-11-01,"CBDT proposes to introduce a common #ITR by merging all existing ITRs except ITR-7, with an aim to ease #compliance"
84,2022-11-02,Panache Digilife gets incentive scheme nod for telecom products
85,2022-11-02,Glenmark gets ANDA nod from US FDA for Sodium Phenylbutyrate tablets USP used to help treat urea cycle disorders
86,2022-11-02,#ElonMusk announces #Twitter will charge $8/month for a blue tick
87,2022-11-02,Tourism Fin Large Trade | 57.2 lakh shares (6.3% equity) worth ₹48.7 crore change hands at average ₹85/share
88,2022-11-02,Bharti Airtel surpasses 1 m customers on its #5G network
89,2022-11-02,Government said to plan infusing ₹2000 cr in #IFCI & merge the company with unit
90,2022-11-02,Maruti Suzuki (@Maruti_Corp) #production crosses cumulative production of 25 million units
91,2022-11-02,"Firstsource reports #Q2 earnings
   
▶️Net Profit up 52.2% at ₹129.4 cr vs ₹85 cr (QoQ)

▶️Revenue up 1% at ₹1,487 cr vs ₹1,472 cr (QoQ)

▶️EBITDA up 5.5% at ₹191 cr vs ₹181 cr (QoQ)

▶️EBITDA margin at 12.8% vs 12.3% (QoQ)"
92,2022-11-02,Firstsource reports other income in Q2 at ₹49.3 cr vs ₹6.3 cr (QoQ)
93,2022-11-02,UN says crypto use in terror financing likely soaring
94,2022-11-02,E-rupee for retail users to be launched this month: RBI governor
95,2022-11-02,"Cabinet approves Mechanism for procurement of ethanol by Public Sector Oil Marketing Companies (OMCs) under Ethanol Blended Petrol (EBP) Programme.

Revision of #ethanol price is for Ethanol Supply Year (ESY) 2022-23"
96,2022-11-02,"Adani Trans Q2 | #2QWithCNBCTV18 

Net profit down 24.3% at Rs 206.2 cr vs Rs 272.5 cr (YoY)

Revenue up 32.6% at Rs 3,251.4 cr vs Rs 2,451.4 cr (YoY)

EBITDA up 34.7% at Rs 1,163.8 cr vs Rs 864.3 cr (YoY)

Margin at 35.8% vs 35.3% (YoY"
97,2022-11-02,"Adani Transmission board approves  raising up to Rs 1,500 cr via #NCDs"
98,2022-11-02,"Kajaria Ceramics Q2 | #2QWithCNBCTV18 

Net profit down 39.6% at Rs 70 cr Vs Rs 116 cr (YoY)

Revenue up 10.7% at Rs 1,078 cr Vs Rs 973.5 cr (YoY)

EBITDA down 28.1% at Rs 129.7 cr Vs Rs 180.3 cr (YoY)

EBITDA margin at 12% Vs 18.5% (YoY"
99,2022-11-02,"Akasa Air announces addition of 9th destination in its network, adds Pune to its network

Pune to have direct connectivity from Bengaluru from 23rd November onwards"
100,2022-11-02,Precision Wires to consider bonus issue on November 10
101,2022-11-02,"Mahindra Holidays reports Q2 earnings

▶️Net profit down 30.5% at ₹41 cr vs ₹59 cr (YoY)

▶️Revenue up 9.5% at ₹598.4 cr vs ₹546.4 cr (YoY)

▶️EBITDA down 1.6% at ₹116.5 cr vs ₹118.4 cr (YoY)

▶️EBITDA margin at 19.5% vs 21.7% (YoY)"
102,2022-11-02,increase in ethanol prices: Price of #ethanol from C heavy molasses increased from Rs 46.60/litre to Rs 49.40/litre.
103,2022-11-02,"Grindwell Norton reports Q2 earnings

▶️Net profit up 26.3% at ₹90.3 cr vs ₹71.5 cr (YoY)

▶️Revenue up 23.8% at ₹634.6 cr vs ₹512.6 cr (YoY)

▶️EBITDA up 21.1% at ₹122.3 cr vs ₹101 cr (YoY)

▶️EBITDA margin at 19.3% vs 19.7% (YoY)"
104,2022-11-02,"Russia says it will resume its participation in #BlackSea grain initiative, a deal with #Ukraine to enable vital agricultural exports from the country."
105,2022-11-02,"No scope to reduce #fuel prices, diesel under-recoveries at 27/L 

#Oil cos borrowings have gone up after reporting losses 

Further govt support to OMCs on fuel, #LPG under-recoveries likely 

*Govt paid Rs 22,000 cr to OMCs on LPG under-recoveries in Oct"
106,2022-11-02,"Triveni Turbine board approves buyback of shares via tender offer

The co will spend up to Rs 190 cr on share #buyback

Board approves buyback of shares at Rs 350/sh"
107,2022-11-02,"75bpsHike | Fed hikes by another three-quarters of a point, taking rates to the highest level since January 2008"
108,2022-11-02,"#Breaking | The US Federal Reserve hikes rates by 75 bps.

This is its fourth hike in a row of that caliber, as it battles high inflation"
109,2022-11-02,Piramal Enterprises board meeting on Nov 7 to consider issuance of NCDs
110,2022-11-03,"Bikaji Foods raises ₹262 cr from anchor investors. IPO opens for public subscription on Thursday, November 03"
111,2022-11-03,"US #Fed may keep raising rates, until inflation comes down. Also, global investors are getting confident that india is one of the better economies, says Ed Yardeni of Yardeni Research"
112,2022-11-03,"Godrej Properties acquires 50 acres’ residential project in Manor-Palghar, Maharashtra. Project will offer a booking value potential of approximately ₹500 cr. Land parcel in Manor to have a developable potential of 1.2 m sqft of saleable area"
113,2022-11-03,"Devyani International #Q2 earnings

▶️ Net #profit up 28.4% at ₹58.7 cr vs ₹45.7 cr (YoY)    

▶️ #Revenue up 44.8% at ₹747.4 cr vs ₹516 cr (YoY)
    
▶️ #EBITDA up 30% at ₹166.4 cr vs ₹128 cr (YoY)  
  
▶️ #Margin at 22.3% vs 24.8% (YoY)"
114,2022-11-03,"Devyani International Q2 earnings

▶️ Opened 88 net new stores in Q2 FY23

▶️ Q2 same store sales growth for #KFC at 13% vs 63.6% (QoQ) & Vs 72% (YoY)"
115,2022-11-03,"Devyani International Q2 earnings

▶️ Q2 same store sales growth for #PizzaHut at 2.9% vs 31.5% (QoQ) & Vs 73.5% (YoY)

▶️ Q2 same store sales growth for #CostaCoffee at 50.7% vs 206.8% (QoQ) Vs 225.9% (YoY)"
116,2022-11-03,"Adani Wilmar reports #Q2 results.

▶️Cons net profit down 73.3% at ₹48.7 cr vs ₹182.3 cr (YoY)

▶️Revenue up 4.4% at ₹14,150 cr vs ₹13,558 cr (YoY)

▶️EBITDA down 40.8% at ₹254.5 cr vs ₹430 cr (YoY)

▶️Margin at 1.8% vs 3.3% (YoY)"
117,2022-11-03,"Expect 55-60% #revenue growth for #FY23. Expect strong jump in orderbook in #H2FY23. EBITDA margin for FY23 expected at 30%, says Srinivas Reddy of MTAR Technologies"
118,2022-11-03,Likhitha Infra bags orders worth ₹305 cr
119,2022-11-03,"Hawkins Cooker #Q2 earnings

▶️ Net #profit up 17.4% at ₹30.8 cr vs ₹26.2 cr (YoY)

▶️ #Revenue up 11.7% at ₹297.3 cr vs ₹266.2 cr (YoY)

▶️ #EBITDA up 18.1% at ₹43.8 cr vs ₹37.1 cr (YoY)

▶️ #Margin at 14.7% vs 13.9% (YoY)"
120,2022-11-03,"Bank of India reports Q2 earnings. 

▶️Net profit down 8.7% at ₹960 cr vs ₹1,051 cr (YoY)

▶️NII up 44% at ₹5,083 cr vs ₹3,523.3 cr (YoY)"
121,2022-11-03,"Bank of India reports Q2 earnings. 

▶️Gross NPA at 8.51% vs 9.30% (QoQ)

▶️Net NPA at 1.92% vs 2.21% (QoQ)

▶️Gross NPA at ₹42,014 cr vs ₹44,414 cr (QoQ)

▶️Net NPA at ₹8,836 cr vs ₹9,775 cr (QoQ)"
122,2022-11-03,Medanta operator Global Health's IPO launches today
123,2022-11-03,"Elon Musk to lay off 50% Twitter workforce, revoke work-from-anywhere policy"
124,2022-11-03,"Sapphire Foods Q2 earnings

▶️ Cons net profit at ₹26.9 cr vs loss of ₹5 cr (YoY)  
  
▶️ Cons revenue up 35.9%  at ₹562.7 cr vs ₹414.1 cr (YoY)
    
▶️ EBITDA up 82.2% at ₹103.2 cr vs ₹56.6 cr (YoY)  
  
▶️ Margin at 18.3% vs 13.7% (YoY"
125,2022-11-03,Adani Total Gas registers 16% sequential growth in Q2 PAT to ₹160 cr
126,2022-11-03,"Indigo Paints reports Q2 Earnings
 
▶️ Net Profit at ₹37.1 cr vs ₹13.5 cr (YoY)

▶️ Revenue up 23.7%  at ₹242.6 cr vs ₹196.1 cr (YoY)

▶️ EBITDA up 44.4% at ₹33.7 cr vs ₹3.4 cr (YoY)

▶️ Margin at 13.9% vs 11.9% (YoY)"
127,2022-11-03,"Coromandel International reports Q2 earnings 

▶️ Net profit up 42.6% at ₹740.5 cr vs ₹519.3 cr (YoY)

▶️ Revenue up 64.5% at ₹10,113.4 cr vs ₹6,147.5 cr (YoY)

▶️ EBITDA up 42.2% at ₹1,057 cr vs ₹743 cr (YoY)

▶️ Margin at 10.5% Vs 12.1% (YoY)"
128,2022-11-03,"Apar Industries Q2 

▶️Profit up 80.3% at ₹102.6 cr vs ₹56.9 cr (YoY)
▶️Revenue up 42.6% at ₹3,234.9 cr vs ₹2,269.1 cr (YoY)
▶️EBIDTA  up 77% at ₹225.9 cr vs ₹127.6 cr (YoY)                                 
▶️Margin at 6.98% vs 5.62% (YoY)"
129,2022-11-03,"Rainbow Medi Q2

▶️Net Profit up 35.2% at ₹61.1 Cr Vs ₹45.2 Cr (YoY)
▶️Revenue up 17.6% at ₹313 Cr Vs ₹266.2 Cr (YoY)
▶️EBITDA up 22.8% at ₹109.5 Cr Vs ₹89.2 Cr (YoY)
▶️Margin at 35% Vs 33.5% (YoY)"
130,2022-11-03,"Raymond reports #Q2 earnings 

▶️ #Profit at ₹158.9 cr vs ₹53.3 cr (YoY)

▶️ #Revenue up 39.8% at ₹2,168.2 cr vs ₹1,551.3 cr (YoY)

▶️ #EBIDTA up 85.1% at ₹334.9 cr vs ₹180.9 cr (YoY)

▶️ #Margin at 15.45% vs 11.66% (YoY)"
131,2022-11-03,"Ajanta Pharma Q2 | #2QWithCNBCTV18 

🩹 Cons net Profit down 20.4% at Rs 157 cr Vs Rs 196 cr (YoY)

🩹 Revenue up 6% at Rs 938 cr Vs Rs. 885 cr (YoY)

🩹 EBITDA down 25.5% at Rs 196 cr Vs Rs 263 cr (YoY)

🩹 EBITDA margin at 20.9% Vs 29.7% (YoY)"
132,2022-11-03,"Commercial #Coal Mining Auction | Govt says #Mines will give Rs. 20,000 cr revenue to states once operationalised.

Bidding to take place soon on coal gasification projects worth Rs. 6,000 cr

67 #blocks already auctioned, many will begin production this year"
133,2022-11-03,"| JK Lakshmi Cement reports Q2 earnings 

▶️ Profit down 27.6% at ₹61 cr vs ₹84.3 cr (YoY)

▶️ Revenue up 13.6% at ₹1373.6 cr vs ₹1,208.8 cr (YoY)

▶️ EBIDTA down 15.5% at ₹164 cr vs ₹194.1 cr (YoY)

▶️ Margin at 11.9% Vs 16.1% (YoY)"
134,2022-11-03,"Vodafone Idea reports Q2 earnings 

▶️ Net loss of ₹7,595.5 cr vs loss of ₹7,296.7 cr (QoQ)"
135,2022-11-03,"Adani Enterprises reports Q2 earnings 

▶️ Net Profit down 1.8% At Rs 461 Cr Vs Rs 469.5 Cr (QoQ)"
136,2022-11-03,"Adani Enterprises reports Q2 earnings 

▶️ Net profit at ₹461 cr vs ₹212 cr (YoY)"
137,2022-11-03,"Sanofi India Q2 | #2QWithCNBCTV18 

🩹 Cons net profit down 75.3% at Rs 131 cr vs Rs 530 cr 

🩹 Revenue down 8.3% at Rs 692 cr vs Rs 754.5 cr 

🩹 EBITDA down 8.5% at Rs 181.9 cr vs Rs 198.8 cr 

🩹 EBITDA margin at 26.29% vs 26.35%"
138,2022-11-03,"BankofEngland raises its benchmark rate by 75 basis points, its biggest hike in 33 years

The #75basispoint increase takes the Bank Rate to 3%, its eighth consecutive hike to the main lending rate."
139,2022-11-03,"ED files case against 19 accused cos including Chairman of SRS Group of Cos

Cos accused of duping innocent buyers by falsely promising to deliver flats/plots

Accused allegedly lured investors into Ponzi schemes with unsustainable returns"
140,2022-11-03,Total proceeds of crime identified in case till now stand at Rs. 2216 cr
